Feature,Frequency,Avg Feedback
t-1 Price,7,0.021460210851681285
t-2 Price,4,0.024388896750529774
t-3 Vol,3,0.0156231764439237
t-5 Price,3,0.015614108177372068
t-1 ROC,2,0.0261391933107272
t-13 Vol,2,0.0222120357420508
t-11 ROC,2,0.0166852346158545
t-3 ROC,2,0.0104403824196093
t-9 Price,1,0.0419380014552417
t-8 ROC,1,0.0375185529193727
t-4 Price,1,0.0281483854639131
t-12 ROC,1,0.025967471479343
t-7 Vol,1,0.0225874690467362
t-12 Price,1,0.013699658453634
t-13 Price,1,0.0129369622920552
t-2 Vol,1,0.012431129158084
t-9 ROC,1,0.0111815422207497
t-9 Vol,1,0.0101569438196911
t-10 ROC,1,0.0098062428839785
t-3 Price,1,0.0091968490104794
t-8 Vol,1,0.0070238547895547
t-10 Price,1,0.0048257472863011
