Model,Feature 1,Feedback 1,Feature 2,Feedback 2,Feature 3,Feedback 3
t+1,t-10 ROC,0.0098062428839785,t-3 Vol,0.0064948719903817,t-1 Price,0.0064420349660272
t+2,t-12 Price,0.013699658453634,t-9 ROC,0.0111815422207497,t-3 ROC,0.0089461809307883
t+3,t-2 Price,0.0285930518438746,t-10 Price,0.0048257472863011,t-5 Price,0.0045688978407415
t+4,t-1 Price,0.0356430982413955,t-2 Price,0.0150188429116556,t-3 ROC,0.0119345839084303
t+5,t-5 Price,0.0148016703267428,t-1 Price,0.0065824826722148,t-13 Vol,0.0056962292672058
t+6,t-1 Price,0.0111035231945915,t-3 Vol,0.0105312838004838,t-3 Price,0.0091968490104794
t+7,t-13 Vol,0.0387278422168958,t-8 ROC,0.0375185529193727,t-2 Price,0.0261719887500645
t+8,t-9 Price,0.0419380014552417,t-1 Price,0.0410445862161007,t-2 Price,0.0277717034965244
t+9,t-4 Price,0.0281483854639131,t-5 Price,0.0274717563646319,t-1 Price,0.0163944462586163
t+10,t-7 Vol,0.0225874690467362,t-1 ROC,0.015404343210575,t-8 Vol,0.0070238547895547
t+11,t-1 Price,0.033011304412823,t-12 ROC,0.025967471479343,t-13 Price,0.0129369622920552
t+12,t-3 Vol,0.0298433735409056,t-11 ROC,0.0131480055177319,t-9 Vol,0.0101569438196911
t+13,t-1 ROC,0.0368740434108794,t-11 ROC,0.0202224637139771,t-2 Vol,0.012431129158084
