Feature,Frequency,Avg Feedback
t-4 Price,4,0.00179760068547975
t-1 Price,3,0.0029572636837835666
t-2 Price,3,0.002607316764229033
t-8 Price,2,0.0034871094187419
t-1 ROC,2,0.0026755675151915
t-8 Vol,2,0.0026564917870987
t-7 Vol,2,0.00185265347003215
t-4 ROC,2,0.0018001879112005
t-11 Vol,2,0.00156552311812185
t-12 Price,2,0.00113716525758025
t-9 ROC,2,0.0007070703003464
t-3 Vol,1,0.0023757832053331
t-5 Vol,1,0.0021364605731024
t-9 Vol,1,0.0014955990709434
t-12 Vol,1,0.0012632577249212
t-1 Vol,1,0.0011460813100504
t-6 Price,1,0.0011292156968581
t-12 ROC,1,0.0011282194037019
t-13 Vol,1,0.0008348690856974
t-7 Price,1,0.0007416542239584
t-5 Price,1,0.0005639901016278
t-6 ROC,1,0.0005241202071445
t-4 Vol,1,0.0004620228490572
t-6 Vol,1,0.0004407254684452
