Model,Feature 1,Feedback 1,Feature 2,Feedback 2,Feature 3,Feedback 3
t+1,t-8 Vol,0.0039500703650794,t-1 Price,0.0029243446699558,t-11 Vol,0.0023121757042909
t+2,t-4 ROC,0.0026660069019053,t-2 Price,0.0015276919492277,t-4 Price,0.0010957335382327
t+3,t-2 Price,0.0005301991109495,t-4 Vol,0.0004620228490572,t-9 ROC,0.0003438811402373
t+4,t-7 Price,0.0007416542239584,t-5 Price,0.0005639901016278,t-6 Vol,0.0004407254684452
t+5,t-2 Price,0.0057640592325099,t-12 ROC,0.0011282194037019,t-13 Vol,0.0008348690856974
t+6,t-6 Price,0.0011292156968581,t-8 Price,0.0006405346231069,t-6 ROC,0.0005241202071445
t+7,t-8 Price,0.0063336842143769,t-12 Price,0.0013394455002814,t-4 ROC,0.0009343689204957
t+8,t-7 Vol,0.0021927994908744,t-8 Vol,0.001362913209118,t-12 Price,0.0009348850148791
t+9,t-1 Price,0.0052999786636445,t-7 Vol,0.0015125074491899,t-11 Vol,0.0008188705319528
t+10,t-1 Vol,0.0011460813100504,t-9 ROC,0.0010702594604555,t-1 Price,0.0006474677177504
t+11,t-1 ROC,0.0035662345832057,t-4 Price,0.0021680785330432,t-5 Vol,0.0021364605731024
t+12,t-4 Price,0.0029909869413252,t-1 ROC,0.0017849004471773,t-9 Vol,0.0014955990709434
t+13,t-3 Vol,0.0023757832053331,t-12 Vol,0.0012632577249212,t-4 Price,0.0009356037293179
