Feature,Frequency,Avg Feedback
t-1 Price,5,0.0169288370585412
t-2 Price,4,0.010387625090237575
t-12 Vol,3,0.017906024355405434
t-4 Vol,3,0.0164217256164326
t-4 ROC,2,0.02000867279910185
t-3 ROC,2,0.01886166670440675
t-1 ROC,2,0.017913500742220548
t-10 Vol,2,0.0119709583533484
t-3 Price,2,0.00901299004405495
t-2 ROC,1,0.0808317269804186
t-5 ROC,1,0.0493772678554538
t-12 Price,1,0.0280035323442816
t-9 Vol,1,0.0274579442878458
t-11 Vol,1,0.0246337126633302
t-5 Price,1,0.0209184652298247
t-4 Price,1,0.0114453341045638
t-13 Vol,1,0.0110910660685103
t-6 ROC,1,0.010363597630988
t-8 Vol,1,0.0086948268668646
t-11 Price,1,0.0065625693284593
t-3 Vol,1,0.0034656695053425
t-1 Vol,1,0.0027748657358954
t-13 ROC,1,0.0026799807985352
